x,y,SOC,ELEV,Aspect,Slope,NDVI,Silt_Clay
45935.3298,1580238.969,7.256,272.6796875,185.04039,1.429967642,0.694314122,77.16470337
-1137299.014,1446994.439,4.594,2261.781982,222.3785248,4.874323368,0.370553285,40.66199875
-1106344.789,1716868.609,5.995,2404.112061,183.5729065,6.680479527,0.643415809,53.73600006
-1145173.126,1281595.048,11.22,2281.424561,173.1285248,7.745949745,0.353026539,46.83737564
-19769.53004,1552489.359,5.388,277.6633606,168.1042938,2.923674822,0.729283452,62.83972549
-1105687.482,1322860.919,1.619,2317.490723,193.8055573,2.635037899,0.283793569,38.42100143
-1122169.656,1239206.469,3.842,2334.665771,151.7753296,7.092346191,0.283077896,48.37400055
-813852.8469,1051129.068,10.276,1623.31604,135.0096741,11.54418755,0.358706594,44.55400085
-1160317.891,1126858.739,0.494,1827.527466,173.5813141,6.71753931,0.309301466,51.83800125
-893102.6214,1295411.839,4.313,2100.995605,163.7433014,4.437342644,0.343740642,46.68799973
-1128512.259,1281006.369,3.393,2357.302246,173.9526672,8.016197205,0.341147661,52.75299835
-5662.879975,1623038.259,10.356,313.1699219,171.6302795,2.028388977,0.722296059,68.29383087
-1186066.734,1267232.889,1.823,2214.098633,163.0617371,13.57865334,0.536328733,57.11212158
-1116586.499,1228025.208,1.333,2192.513428,174.4923096,8.080985069,0.351706296,47.33000183
-1106102.322,1419121.609,7.596,2514.776367,165.202774,6.598981857,0.537420094,54.59199905
-861494.3727,2367645.259,5.499,1745.197266,130.12117,7.798649788,0.379721195,60.10618591
-1101155.21,1706391.99,4.874,2328.449463,219.6880188,10.4627409,0.573623061,53.33737564
-1167627.046,1162632.478,2.759,1516.199951,175.9503479,11.0110321,0.286339402,59.58124924
-1107341.573,1699358.76,3.782,2328.449463,219.6880188,10.4627409,0.573623061,53.33737564
-1195782.638,1107246.809,1.12,1344.675903,218.0596466,2.738885403,0.148967952,58.54700089
-1087092.316,1098736.658,1.712,1326.586792,156.4176178,1.306407094,0.177858874,48.47550964
-1112903.008,1125106.419,6.509,1552.659912,187.8292847,2.377149105,0.191320196,54.36875153
-1101216.126,1102846.349,2.181,1416.958984,183.943161,1.181077719,0.163638309,55.55353546
-701053.1743,1077183.279,2.21,1128.665894,151.4407806,1.434005022,0.272296101,18.32222176
-758470.8978,2333272.9,6.5,1485.535034,141.2633972,1.624822617,0.321799695,47.97999954
-697586.6276,1038971.328,0.93,1035.592041,117.2919388,1.058097124,0.262355685,17.39800072
-1161945.812,1045937.248,2.727,1371.911377,145.764801,3.551978111,0.179363534,48.55151367
-1145689.258,1053788.939,1.35,1460.342163,147.9896545,1.217208862,0.162046626,54.50500107
-669689.2985,1390839.919,0.805,1185.43103,170.1819458,2.303528547,0.280245245,40.2457428
-613047.3702,1769166.349,1.872,1419.348389,152.5202026,1.347284079,0.361546248,22.49183655
-938008.1862,1097390.378,0.485,1244.975098,122.6138992,1.038609505,0.188993141,57.18061066
-766907.5658,1164946.308,0.001,1088.212891,178.5187225,1.230456471,0.235435963,49.8030014
-875741.4737,2339436.13,3.974,1738.640869,118.9809952,7.909953594,0.33801192,60.28709793
-793772.4007,1227379.799,0.471,1258.049316,153.6365662,2.606235743,0.210498661,61.86600113
-28597.05042,1773245.619,9.889,368.1755066,161.2080841,3.812701225,0.733724773,83.58404541
-749538.4278,1312226.789,1.139,1340.006348,177.5037994,2.023608208,0.278436005,29.34545517
-716318.9961,2232564.849,6.363,1583.80188,175.7629089,2.563564777,0.39453873,28.81562424
-723093.8634,1178081.559,1.085,1280.345215,209.7858276,1.434912205,0.271942288,28.74900055
-823011.514,2239871.41,9.451,1691.30188,141.2353058,3.970698118,0.361688375,40.10315704
-833987.3537,2281191.7,4.904,1697.071045,177.8260803,3.361020565,0.312403351,51.20000076
-687906.6836,1359214.309,1.941,1237.188232,148.8030701,1.232816577,0.317048192,57.80652237
-749805.8692,1085735.899,1.303,1013.55426,177.8643646,1.695938587,0.229102552,34.29263306
-759319.4303,2154308.26,3.141,1561.74939,138.082428,4.469407558,0.376411051,31.43030357
-742845.6134,2416464.179,7.046,1355.114136,179.7253265,3.319686174,0.413841873,39.68199921
-593343.1208,1776755.459,1.611,1353.516724,155.409317,0.948349535,0.360603064,53.40851212
-677269.9192,2289486.449,3.329,1193.221069,151.823822,2.903541327,0.338838518,44.4272728
-1219348.441,1019863.239,3.568,1591.180908,170.9076385,2.513181925,0.243449926,59.17399979
-904024.0181,1227785.009,1.596,1713.269531,232.394577,1.759581923,0.223067954,63.53404236
-683761.5163,2342829.289,3.105,1285.998901,163.3352203,2.302468061,0.352596849,42
-751872.1534,2149318.61,5.009,1561.74939,138.082428,4.469407558,0.376411051,31.43030357
-671964.1211,2056624.599,3.445,1583.133789,144.0437012,1.594504714,0.422314763,41.32395935
-694988.8006,1960552.019,0.528,1414.187988,164.5146027,1.438867331,0.366635084,9.253535271
-699100.9237,1262910.649,2.977,1287.726563,157.3687744,1.562330842,0.299431115,41.02999878
-692121.9309,2192045.4,1.395,1489.389526,161.7070007,2.323575497,0.362545192,45.49599838
-643167.6357,1380024.388,1.102,1175.755737,185.3959808,2.327094793,0.282815695,45.97653198
-748159.1378,2280275.009,2.352,1442.587524,177.0787201,1.359321237,0.31223017,44.98686981
-855596.1231,1063850.959,7.533,1200.702393,139.1226959,4.208724022,0.192295283,71.40100098
-803581.6764,2324517.859,6.903,1612.13147,166.9982758,4.018300533,0.386230111,51.90625
-782733.2108,2295086.82,3.489,1615.220093,158.1968842,3.082427502,0.34646821,35.00909042
-707763.5692,1727520.029,1.11,1432.050415,172.2220917,2.085021734,0.246242076,47.03333282
-859798.6063,2469723.549,8.328,1200.339111,173.7955475,6.427920341,0.465711236,58.46250153
-708176.8405,1703523.219,4.624,1370.270752,162.5812225,1.177685976,0.269405723,67.48787689
-672528.2008,2091830.419,4.974,1442.376221,133.8195496,2.074910402,0.405050755,37.92021179
-575312.6843,1713733.259,4.974,1190.883179,160.6103363,1.299599767,0.355982542,77.05294037
-723826.651,1047806.969,0.677,1063.505127,164.7299347,1.025621295,0.270067871,12.74591827
-837464.0837,1407422.949,2.884,1810.943481,146.4248962,4.520423412,0.319540769,40.87200165
-1185457.101,1139930.019,0.851,1346.618408,222.6036835,3.588724375,0.211629048,60.34646606
-695217.3386,2319009.46,3.039,1272.464844,156.5003357,2.106517553,0.335409015,40.85555649
-801916.1664,2242073.929,4.594,1666.913086,175.9057312,4.044919968,0.371050358,44.95760727
-747482.811,2306379.36,3.57,1421.152466,167.3039856,3.184599161,0.27122131,49.50500107
-675431.9913,2116206.279,6.979,1354.376587,149.9687805,1.576267362,0.384414405,33.20721817
-238825.29,1747447.539,6.325,577.8641357,153.0287628,1.132584929,0.496841371,80.91666412
-759789.5666,2097084.399,10.72,2040.524536,164.9373627,3.964875698,0.38162604,56.4272728
-824899.7468,1425187.508,4.084,1958.537598,178.6333466,6.340496063,0.388280451,55.63958359
-576448.0759,1738838.329,1.542,1251.51123,156.3656311,0.936136723,0.394683599,19.63469315
-582685.9206,1614576.58,4.086,1367.865479,133.326416,1.343380928,0.322731376,65.43151855
-493093.9064,1874031.599,1.015,1056.04895,162.6939697,2.283162832,0.431147814,53.79185867
-642451.0675,1713758.369,1.897,1292.610718,155.2926483,1.031368613,0.25971505,66.92446899
-648382.3303,1546198.139,3.113,1604.231445,161.5352173,2.493979216,0.335642278,47.5737381
-664718.6975,1323947.468,2.519,1395.630371,160.1567841,1.122055769,0.318917453,58.14081573
-858491.6511,2445314.77,13.758,1468.783936,151.8065186,8.112212181,0.539935708,51.20549393
-821484.9874,2357205.47,4.518,1369.875366,146.4677734,2.563859224,0.28529188,50.52000046
-459660.9393,1783421.259,3.9,953.5596313,159.1018372,1.476952553,0.376978844,80.568367
-653282.5457,1752158.119,3.075,1499.300171,178.339386,1.419889331,0.264569998,61.38420868
-704442.0984,2432000.649,13.007,1273.883667,164.0845184,2.766810417,0.439140618,61.21530533
-795275.6193,1450984.609,6.088,1983.726807,153.1221924,2.43729043,0.339027196,62.73749924
-750759.1596,1881917.299,1.309,1689.933838,106.511261,2.962572098,0.471262991,52.13999939
-1072047.763,1133640.549,2.649,1601.399292,149.6914215,4.326188564,0.211360663,54.06900024
-828308.4787,1356934.429,3.65,1716.546875,146.1100311,3.556485891,0.263083577,48.58599854
-755470.8441,1803317.13,6.536,2049.090088,194.4580078,4.397823334,0.444519132,35.13478088
-751580.1683,1770211.279,11.589,1810.279907,129.5137329,3.796578884,0.365856677,70.33261108
-814182.3189,2458983.9,18.814,1238.434082,167.1174011,6.607188225,0.372774959,60.7350502
-742818.0793,1826295.959,8.221,2224.419189,177.7469635,3.94675231,0.492245644,41.20000076
-741657.5579,2381714.589,5.478,1402.677612,172.5931396,3.598258257,0.347912341,41.98484802
-642119.9837,1922501.65,2.203,1341.309082,147.6950989,0.906366825,0.395435303,14.99354839
-737680.3665,1864862.848,3.459,1917.902954,156.1463623,2.958293438,0.427538186,32.16888809
-814508.3715,2392819.559,6.929,1333.421021,153.2598724,4.988440514,0.267098218,54.54489899
-683009.5661,1725972.558,1.665,1400.323975,138.1534424,1.27710557,0.256471664,44.14387894
